127.0.0.1 - - [13/Jun/2014 19:21:10] "GET /img/products/TNG.jpg HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:10] "GET /img/products/WML.jpg HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:12] "GET /partials/shoppingCart.htm HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:52] "GET /default.htm HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:52] "GET /js/product.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:52] "GET /js/store.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:52] "GET /js/shoppingCart.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:52] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:52] "GET /js/controller.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:52] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:52] "GET /img/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:21:52] "GET /partials/store.htm HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:22:12] "GET /default.htm HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:22:12] "GET /js/product.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:22:12] "GET /js/store.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:22:12] "GET /js/shoppingCart.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:22:12] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:22:12] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:22:12] "GET /js/controller.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:22:12] "GET /img/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2014 19:22:12] "GET /partials/store.htm HTTP/1.1" 200 -
